Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
[sīc] Ventures,https://www.sicstudio.org/ventures/ventures,"San Francisco, CA","Vietnam,Uzbekistan,Egypt,Kenya,Niger,Japan,Argentina,Algeria,Morocco,Thailand,Philippines,Malaysia,Singapore","1. Idea or Patent,2. Prototype,3. Early Revenue,5. Growth",We invest in emerging markets startups.,VC,"$10,000","$200,000"
1 4 All Group,https://1-4-all.group/,"IFZA Business Park, Building A2, Dubai Silicon Oasis, Dubai, UAE","Botswana,DRC Congo,Côte d'Ivoire,Ethiopia,Ghana,Kenya,Mauritius,Nigeria,Rwanda,Senegal,South Africa,Tanzania,Uganda,Zambia,Argentina,Brazil,Canada,Chile,Costa Rica,Cuba,Jamaica,Mexico,Trinidad and Tobago,USA,Uruguay,Azerbaijan,Bangladesh,China,Hong Kong,India,Indonesia,Japan,Kazakhstan,Kyrgyzstan,Malaysia,Pakistan,Philippines,Singapore,South Korea,Sri Lanka,Taiwan,Tajikistan,Thailand,Turkmenistan,Uzbekistan,Vietnam,Armenia,Austria,Belarus,Belgium,Bosnia-H,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Gibraltar,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Algeria,Bahrain,Egypt,Iran,Iraq,Israel,Jordan,Kuwait,Morocco,Oman,Qatar,Saudi Arabia,Tunisia,Turkey,UAE,Australia,New Zealand","3. Early Revenue,4. Scaling,5. Growth","We invest in Financial, Consumer, Healthcare, Energy/Mining/Industrials, IT/Media, and Infrastructure sectors. Value investors seeking realistic valuations and pivot-ready startup or early-stage cases. Special interest in 'neglected' cases: minority/female-led ventures, emerging markets, smaller enterprises, and investment management startups.",Angel network,"$50,000","$14,000,000"
01 Ventures,https://www.01ventures.com/,"Singel 542, Amsterdam, North Holland 1017 AZ, NL","UK,Netherlands","2. Prototype,3. Early Revenue",We invest in deep tech innovations including software and hardware solutions to the world's biggest challenges.,VC,"$250,000","$2,000,000"
1Sharpe Ventures,https://www.1sharpe.ventures/,"2201 Broadway, Oakland, CA","USA,Canada,Mexico,Brazil,UK,France,Ireland,Germany","2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in Fintech, Real Estate Tech, Proptech,Architecture, Engineering, Construction, Supply Chain, Logistics, Climate, Commerce, and hospitality, Pre-Seed through Series A.  ",VC,"$500,000","$2,000,000"
1st Course Capital,https://www.1cc.vc/,"541 Jefferson Ave., Suite 100, Redwood City, CA 94063",USA,"2. Prototype,3. Early Revenue,4. Scaling","We invest in business model and technology innovations across the food supply chain, from inputs and agriculture, through processing, distribution, retail, all the way to consumer health.",VC,"$25,000","$200,000"
2|Twelve,https://212angels.com,"17 Salt Landing, Tiburon, CA 94920, United States",USA,"2. Prototype,3. Early Revenue","We invest in B2B,Enterprise, SaaS, B2B Fintech at seed stage.",VC,"$100,000","$300,000"
3CC Third Culture Capital,https://3cc.io,"1 Washington Mall, Suite 1151, Boston, MA 02108, United States","USA,France,Canada,Vietnam","3. Early Revenue,4. Scaling,2. Prototype,1. Idea or Patent",We invest in diverse founders who innovate at the intersection of culture and healthcare delivery.,VC,"$250,000","$2,000,000"
3cubed VC,https://3cubed.vc,"100 Pine St, STE 1250, San Francisco, California 94111, US","USA,Germany,UK,UAE,Spain,South Africa,Tanzania,Liberia,Australia,Canada,Israel,Mexico","1. Idea or Patent,2. Prototype,3. Early Revenue,5. Growth","We invest in AI, Fintech, Blockchain Tech, Enterprise Software, Consumer Internet, Health Tech. We invest in people first, guided by trusted relationships, intuition, and seasoned judgment of character, because great individuals create enduring value beyond what data alone can reveal.",VC,"$50,000","$1,000,000"
3one4 Capital,https://www.3one4capital.com,"Office #1, 5th Floor, 1 Sobha 50, St Mark's Rd, Ashok Nagar, Bengaluru, Karnataka 560001","India,USA,Singapore","2. Prototype,3. Early Revenue,4. Scaling","We invest in SaaS, Enterprise & SMB Automation, Fintech, Consumer Internet, and Digital Health, with a focus on areas such as machine-driven actionable intelligence services, digital media, ambient intelligence technologies, logistics and distribution, and climate and sustainability tech.",VC,"$100,000","$5,000,000"
3VC,https://www.three.vc/,"Seilergasse 9, 1010 Vienna, Austria","Austria,Bulgaria,Croatia,Czech Republic,Estonia,Germany,Hungary,Latvia,Lithuania,Poland,Romania,Serbia,Slovakia,Slovenia,Switzerland,Ukraine","3. Early Revenue,4. Scaling","We invest in AI, dev tools, deep tech, security, AR/VR, data analytics, digital health, app/mobile, new frontier

We start to support at Seed stage and invest in Series A, B and beyond.

We are looking for teams in the GSA & CEE region with the clear intention to make a difference in the world

We co-invest in syndicates with Tier 1 funds (eg. Forbes’ Midas List) with the ability to proactively support these teams.",VC,"$1,000,000","$5,000,000"
4F Ventures,https://4fventures.com/,"Remote, Orange County, CA","USA,Canada","2. Prototype,3. Early Revenue,4. Scaling",We invest in traditionally overlooked founders building seed-stage eCommerce and FinTech companies across North America. Tickets up to $250K.,VC,"$50,000","$250,000"
4impact,https://www.4impact.vc/,"The Hague, Netherlands","Netherlands,Germany,Switzerland,Austria,Sweden,Denmark,Norway,Finland,UK","2. Prototype,3. Early Revenue","We invest in European software startups that achieve tangible positive impact in environment, health, or inclusion.",VC,"$500,000","$3,000,000"
7percent Ventures,http://www.7percent.vc,"207 Regent Street, London, United Kingdom","USA,Albania,Andorra,Austria,Belarus,Belgium,Bosnia-H,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Holy See,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Ukraine","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in frontier (i.e. deeptech) and transformative technologies (fundamentally changing the dynamics of a market, the way the sector works).
Our sweet spot is first or second money-in, including the conceptual and pre-revenue rounds. We invest between $100k and $2m, depending on stage, with an average first investment of $500k.",VC,"$100,000","$2,000,000"
9Unicorns,https://www.9unicorns.in/,"Mittal Commercia, Sakinaka, Hasan Pada Rd, Mittal Industrial Estate, Marol, Andheri East, 203-206, Mumbai, Maharashtra 400059, IN",India,"3. Early Revenue,4. Scaling,2. Prototype,1. Idea or Patent",We invest in early stage startups across all sectors. The fund will operate uniquely as an accelerator & invest in very early-stage startups. It aims to disrupt idea stage funding in India by providing initial capital of $100K with further committed capital for deserving portfolio companies. The accelerator VC will fund 100+ early-stage startups in 3 years.,VC,"$100,000","$2,000,000"
10D,https://www.10d.vc/,"28 HaArba’a Street. Northern Tower, 11th Floor. Tel Aviv, Israel",Israel,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in Israeli and Israeli-related exceptional entrepreneurs, from early-stage to Seed and Series A rounds. We are looking for startups who disrupt markets by using deep technology, creating new business models, and featuring entrepreneurial teams in digital health, fintech, insurance, computer vision, and artificial intelligence.",VC,"$500,000","$5,000,000"
10K Ventures,https://www.10kventures.co/,"Berlin, Germany","Kenya,Nigeria,Brazil,Colombia,Mexico,India,Indonesia,Philippines,Singapore,Vietnam,France,Germany,Spain,UK,Egypt,Israel,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in early stage startups and funds globally

Our (Hypo)thesis here 👉
https://10kv.notion.site/The-10KV-Hypo-thesis-c1bf235da3ea426eb79a3a6eabc2b92c",Family office,"$100,000","$200,000"
10x Founders,https://www.10xfounders.com/,"Briennerstraße 21, 80333 Munich, Germany","Germany,Austria,Switzerland,France,UK,Poland,Czech Republic,Spain,Portugal,Italy,Norway,Sweden,Finland,Denmark,USA","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in the most ambitious tech founders in pre/seed across Europe and the US. 

Big plus if you're building in deep tech, fintech, enterprise software, SME software, or anything software-related. ",VC,"$100,000","$3,000,000"
10X Venture Partners,https://10xvp.com,"Elm Street, Manchester, NH",USA,"2. Prototype,3. Early Revenue,4. Scaling","We invest in SaaS, AI, Artificial Intelligence, CV, Computer Vision SportsTech, CyberSecurity, mobile, internet, software, marketplaces, logistics",Angel network,"$20,000","$200,000"
11 Tribes Ventures,https://11tribes.vc/,"Chicago, IL",USA,"2. Prototype,3. Early Revenue,4. Scaling",We invest in purpose driven entrepreneurs that are creating category defining technologies.  We are multi-sector investors focused on the underwriting of people. We want to work with founders that are obsessed with a problem and not just their own solution and are looking for a partner to take their business to the next level.,VC,"$100,000","$300,000"
13o3,https://13o3.com,"24/25, The Shard, 32 London Bridge St, London SE1 9SG, United Kingdom","Bahrain,Australia,Austria,Belgium,Benin,Brazil,Canada,Cyprus,Denmark,Estonia,Finland,France,Germany,Greece,Hong Kong,USA,UK,Ukraine,UAE,Switzerland,Sweden,Turkey,Spain,Saudi Arabia","6. Pre-IPO,5. Growth,4. Scaling,3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in IoT, Blockchain, Real Estate, Media, B2B Saas, Clean Energy, Supply Chain and Logistics, Insure-tech, Fintech, and Web3. ",PE fund,"$200,000","$1,000,000"
14Peaks Capital,https://www.14peaks.capital/,"St. Andreas 7 Cham, ZUG, 6330 Switzerland ","Switzerland,Germany,Austria,Italy,France,Spain,Portugal,Belgium,Netherlands,Denmark,Finland,Sweden,Norway,UK,Ireland,USA","2. Prototype,3. Early Revenue,4. Scaling","We invest in 
- Stage: Pre-Seed, Seed and Series A
- Business model: B2B SaaS
- Sectors: Fintech, Future of Work
- Geo: EU, UK and USA ",VC,"$300,000","$1,000,000"
20 Ventures,http://20v.it/,"11, Via Cesare Beccaria, 00196 Roma, RM Italy","Italy,France,Spain","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in disruptive ideas and talented people. We are not a venture capital nor an accelerator, we are a Venture Builder focused on pre-seed stage. We select ideas driven by people who yearn to make them into real, concrete and competitive ventures. 

Because a good idea is not enough to succeed.",Startup studio,"$60,000","$120,000"
27V (Twenty Seven Ventures),https://twentyseven.ventures/,"Cayman Islands, KY","USA,Canada,UK,Hong Kong,Taiwan,New Zealand","2. Prototype,1. Idea or Patent,3. Early Revenue","We invest in global EdTech and Future of Work startups at the Pre-Seed/Seed stages. Check size ranging from $25K-$250K, avg is $100K.",VC,"$25,000","$250,000"
30N Ventures,https://30n.vc,"Santiago, Chile","Kenya,Nigeria,South Africa,Brazil,Chile,Colombia,Mexico,Peru,India,Indonesia,Singapore,Thailand,Vietnam,Egypt,Morocco","3. Early Revenue,4. Scaling,5. Growth","We invest in:

Stages 
Late Seed, Series A.

Sectors
- Fintech: Transforming the financial landscape with new models and technologies.
- Foodtech: Shaping the future of food production, distribution, and consumption.
- Retail: Revolutionizing e-commerce, marketplaces, and logistics for a seamless customer experience.",VC,"$300,000","$5,000,000"
34 Elements Academy,https://www.34elements.com/,"Paris, France",France,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We support startups and help them ask the right strategic questions,"Incubator, Accelerator",$0,$0
35 North Ventures,https://www.35northventures.com/,"Level 3, B-Wing, The Capital,  Bandra Kurla Complex (BKC), Bandra East,  Mumbai – 400051, India",India,"5. Growth,6. Pre-IPO","We invest in early growth-stage companies, Pre-Series A and above.",VC,"$1,000,000","$5,000,000"
42CAP,https://www.42cap.com/,"Seitzstr. 23, 80538 München, Germany","Germany,France,Spain,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Greece,Georgia,Finland,Estonia,Denmark,Hungary,Iceland,Ireland,Italy,Liechtenstein,Luxembourg,Latvia,Lithuania,Malta,Monaco,Bosnia-H,Ukraine,UK,Switzerland,Sweden,Portugal,Netherlands,Poland,Serbia,Norway,Romania,Slovenia,Slovakia,Turkey","3. Early Revenue,2. Prototype",We invest in seed-stage tech- and data-driven B2B software companies across Europe with global ambition.,VC,"$500,000","$2,000,000"
43North,https://www.43north.org/,"Seneca One Tower - 1 West Seneca St., Floor 24, Buffalo, NY 14203","Canada,USA","3. Early Revenue,4. Scaling","We invest in startups that have a full-time founding team, are generating revenue, and have raised outside capital. We're industry agnostic, but are particularly interested in digital health, supply chain tech, agtech and foodtech, fintech, and enterprise SAAS.","Incubator, Accelerator","$1,000,000","$1,000,000"
44 Capital Management,https://www.44.capital/,New York,USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in companies at the intersection of Blockchain + real estate / emerging proptech. Real-world asset use cases globally; on-chain asset tokenization, compliant-tech, ESG/ infrastructure, AI/ machine learning, and adjacent DeFi/ TradFi (web2.5) structured finance solutions.. Pre/Seed - Series A.",VC,"$50,000","$500,000"
50 Partners Capital,http://www.50partners.fr/,"62 rue Jean Jacques Rousseau, 75001 Paris",France,"1. Idea or Patent,2. Prototype,3. Early Revenue",We only invest in the companies accelerated by 50 Partners.,Angel network,"$20,000","$500,000"
70V,https://www.70v.com/,"Domininkonu 11, Vilnius, Lithuania","Lithuania,Latvia,Estonia,Finland,Denmark,Sweden","2. Prototype,3. Early Revenue,4. Scaling",We invest in B2B SaaS / Enterprise software companies with ACV > 2kEUR and outbound sales strategies. Early revenue is a huge benefit.,VC,"$50,000","$300,000"
77 Partners,https://www.77partners.vc/,"The Precinct, TC Beirne Building  Level 3, 315 Brunswick Street, Fortitude Valley  Brisbane, Queensland 4006, Australia",Australia,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in ambitious Australian founders. We’re looking for early stage ventures leveraging FrontierTech including: AI & Machine Learning, IoT & Edge Computing, Advanced Manufacturing & Robotics, Energy & Smart Infrastructure and Quantum & Cybersecurity.",VC,"$100,000","$300,000"
100X.VC,https://www.100x.vc,"91 springboard, Godrej & Boyce, Gate No.2, LBS Marg, Vikhroli West, Mumbai, Maharashtra 400079",India,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in all sectors focused on writing the first cheque in Indian pre-seed / seed-stage startups.,VC,"$35,000","$35,000"
115K,https://www.115k.fr/,"104 boulevard de Sébastopol, 75003 Paris",France,"3. Early Revenue,4. Scaling","We invest in B2B SaaS with a focus on Fintech, Insurtech, Cybersecurity, Data and AI, with Bank/Insurance use cases ",Corporate VC,"$500,000","$5,000,000"
128vc,https://www.128vc.com,"8 Grant Pl, Lexington, MA 02420",USA,"3. Early Revenue,4. Scaling","We invest in AI B2B software companies in North America, leveraging first access to Founder Institute global AI B2B portfolio ($270M+ raised since 2021) and our exclusive nearshore AI talent community. ",VC,"$50,000","$100,000"
212,https://212.vc/,"Uvez Sokak, No:5, Arnavutkoy, Besiktas, Istanbul 34345, TR","Turkey,Romania,Albania,Azerbaijan,Bosnia-H,Bulgaria,Czech Republic,Lithuania,Serbia,Uzbekistan,UAE,Ukraine,Turkmenistan,Poland,Qatar,Hungary","4. Scaling,5. Growth","We invest in Series A with an average ticket size of €1-5 million and are looking for B2B tech solutions in the early and growth stage. We invest in all types of software, deep tech, and enterprise hardware.",VC,"$1,000,000","$5,000,000"
212Founders,https://www.212founders.ma/,"179 Angle des Boulevards de Londres et de la Résistance, Casablanca 20250, Morocco",Morocco,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in early-stage Moroccan startups after a 6-month incubation program.,"Incubator, Accelerator","$200,000","$700,000"
360 Capital,https://www.360cap.vc/,"13 Avenue de l’Opéra, 75001 Paris","France,Italy,Spain,UK,Germany,Portugal,Netherlands,Switzerland,Israel","2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage, innovative deeptech & digital enterprises across Europe. ",VC,"$150,000","$8,000,000"
360 Venture Collective,https://www.360venturecollective.com/,"66 West Flagler Street, Suite 900 - #4573, Miami Florida 33130",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in & accelerate pre-seed & seed stage companies formed in the US & led by historically underestimated founders building venture scale tech-enabled companies in the fin-tech, health-tech, future of work prop-tech, and nonprofit impact sectors. ",VC,"$50,000","$500,000"
365.fintech,https://www.365fintech.vc/,"Dvořákovo nábrežie 4, 811 02, Bratislava, Slovakia ","Slovakia,Czech Republic,Hungary,Poland,Estonia,Latvia,Lithuania,UK,Germany,Belgium,Netherlands,Austria","3. Early Revenue,4. Scaling","We invest in innovative B2B and B2B2C fintech, insurtech and big data startups with a primary geographic focus on CEE, Balkans, Baltics and Europe at large. ",VC,"$50,000","$500,000"
404Fund,https://404.investments/,"Toronto, Canada",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest across stages – from Pre-Seed to Series A – in the fintech sector, covering:

Payments, lending, and banking infrastructure
Wealthtech, insurtech, and regtech solutions
Crypto/Web3 finance applications
AI-driven financial solutions",VC,"$100,000","$500,000"
500 Global,https://500.co/,"814 Mission Street, San Francisco, CA 94103","USA,Mexico,India,Pakistan,Colombia,Brazil,Afghanistan,Albania,Algeria,Angola,Andorra,Antigua and Barbuda,Armenia,Argentina,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Barbados,Bangladesh,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,Norway,Oman,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,UK,Ukraine,UAE,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We invest in companies in markets where technology, innovation, and capital can unlock long-term value and drive economic growth.",VC,"$150,000","$2,500,000"
500 Istanbul,https://istanbul.500.co/,"Eerste Weteringplantsoen 8, 1017 SK Amsterdam, the Netherlands","Turkey,Poland,Estonia,Latvia,Lithuania,Ukraine,Romania,Bulgaria,Slovenia,Greece,Slovakia,Hungary,Croatia,Bosnia-H,Montenegro,Albania,Serbia,North Macedonia,USA,UK","2. Prototype,3. Early Revenue","We invest in globally-focused seed stage startups with teams in Turkey, Eastern Europe and the Baltics.",VC,"$150,000","$1,000,000"
645 Ventures,https://645ventures.com/,"New York City, USA","USA,Canada,UK","3. Early Revenue,2. Prototype,4. Scaling","We invest in tech-enabled businesses across four investment themes: SaaS For The Second Wave, Citizen Professionals, The Engineering Value Chain Revolution, and Personalized Consumer Tech: https://645ventures.com/themes/",VC,"$750,000","$6,000,000"
840 Venture Partners,https://840vp.com/,"220 East 23rd St, Ste 400, NY NY 10016","Brazil,USA,Canada,Mexico,UK,Spain,Italy,France","3. Early Revenue,4. Scaling,5. Growth","We invest in two verticals:
Fintech (b2b, b2c, opening banking, credit underwriting, p2p lending, defi, metaverse) - applications, ideas, missions that will make the world a better, more equitable place for our kids
Future of Work - (metaverse, AI, ML, remote work) ideas that allow us to work smarter.  ",VC,"$100,000","$2,000,000"
1337 Ventures,https://1337.ventures/,"C-19-08, KL Trillion, 50400, Kuala Lumpur, Malaysia ","Malaysia,Vietnam,Philippines,Thailand","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in ideation and early stage startups that are looking to serve ASEAN markets.,VC,"$2,500","$50,000"
1414 Ventures,https://www.1414ventures.com/,"1380 Soldiers Field Rd Suite #3900, Boston, MA 02135","USA,Canada,UK,Ireland,Israel","2. Prototype,1. Idea or Patent,3. Early Revenue",We invest in Digital Identity companies at the pre-seed and seed stage.,VC,"$100,000","$400,000"
1435 Capital Management,https://1435capital.com,"23 Orchard Rd, Ste 101, Skillman, NJ 08558",USA,"2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in growth stage companies from Seed through Series B broadly in tech.,VC,"$100,000","$1,000,000"
1619 Ventures,https://1619.vc,"DIFC, Dubai, UAE","USA,UAE,Saudi Arabia,India,China",3. Early Revenue,We invest in Deep Tech companies which have potential of 2X revenue in the Gulf countries,VC,"$500,000","$3,000,000"
1818 Venture Capital,https://www.1818venturecapital.com,"Upper House, Smith Street, St Peter Port, Guernsey, Channel Islands GY12JQ, GB","UK,Saudi Arabia,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in digital technologies with a relevance to professional services, with a particular focus on financial services. ",VC,"$200,000","$1,000,000"
1982 Ventures,https://1982.vc/,112 ROBINSON ROAD #12-02(A) SINGAPORE 068902,"Indonesia,Singapore,Philippines,Vietnam,Malaysia,Thailand,Pakistan,Bangladesh,Cambodia,Laos,Myanmar","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in seed stage ( first money ) fintech, regtech, insurtech, SaaS for finance, payments startups in Southeast Asia.",VC,"$250,000","$500,000"
2048 Ventures,https://www.2048.vc/,"New York, NY 10001, USA","Canada,USA,UK",1. Idea or Patent,"We invest in pre-seed / smaller seed rounds as lead, and write $300-$600K checks.

First and foremost, we always want to meet exceptional founders with a compelling vision and strong founder-market-fit, regardless of the industry they are building in.

We look for companies that are differentiated and defensible through data and technology.

Business models we like: API/Data Platforms, Marketplaces/Networks, B2B Vertical SaaS, Consumer Subscription with science/technology edge.

Sectors we gravitate towards: Anything API first, bio/genomics, digital health, frontier tech (preferably software/enablement layer, but would do hardware too), sustainability, AI/ML applications, fintech, femtech, eldertech, VR/AR.",VC,"$300,000","$2,000,000"
2080 Ventures,https://www.2080.ventures/,"San Fransisco, CA ","Brazil,Cabo Verde,Cambodia,Estonia,Georgia,Hong Kong,India,Israel,Japan,Lithuania,Saudi Arabia,Singapore,South Korea,Tajikistan,UAE,Uzbekistan,USA,Vietnam,Thailand,Albania,Australia,Armenia,Azerbaijan,Bangladesh,Brunei,China,Czech Republic,Egypt,Kuwait,Qatar","2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We invest in fast-growing markets and awesome new technologies. Our work includes helping startups in Fintech, AI, Healthcare, Clean Energy, EdTech, Blockchain, Cybersecurity, E-commerce, Biotech, ClimateTech, and more. If it's cool and makes the world better, we're in! ",VC,"$100,000","$500,000"
2150,https://www.2150.vc/,"London, UK","UK,USA,Denmark,Finland,Germany,France,Sweden,Spain","4. Scaling,3. Early Revenue,5. Growth","We invest in technology companies that seek to sustainably reimagine and reshape the urban environment. 2150’s investment thesis focuses on major unsolved problems across what it calls the ‘Urban Stack’, which comprises every element of the built environment, from the way our cities are designed, constructed and powered, to the way people live, work and are cared for.
",VC,"$1,000,000","$7,000,000"
A-Venture,https://a-venture.eu/en/,33 avenue Foch 75116 Paris,"France,Luxembourg,Germany","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in French, Luxembourgish and German startups, operating in the environment, mobility and hospitality sectors.",VC,"$30,000","$1,000,000"
A’Z Angels,https://www.azizventures.com/,"2 Embarcadero Center, San Francisco",USA,"3. Early Revenue,4. Scaling","We invest in Fintech, SaaS, Security, and blockchain startups.",VC,"$25,000","$1,000,000"
A/O PropTech,https://www.aoproptech.com/,"Floor 1, 32 Wigmore Street, London, W1U 2RP","Canada,USA,Belgium,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland,UK,Israel,UAE","2. Prototype,3. Early Revenue,4. Scaling","We invest in Built World Technology.

Stage agnostic, investing permanent capital to support entrepreneurs & companies from Series A to later-stage growth.",VC,"$2,000,000","$10,000,000"
A&G Energy Transition Tech Fund,https://www.ayg.es,"Paseo Castellana 92, España, 28080, Madrid",Spain,5. Growth,"We invest in cleantech (SaaS, PaaS, cleantech, IoT, industry 4.0, blockchain, etc companis with business model tested and low tecnology risk. ",VC,"$5,000,000","$10,000,000"
A2D Ventures,https://www.a2dventures.com/,"68 Circular Road, Singapore, 049422, Singapore","Singapore,Thailand,Vietnam,Philippines,Indonesia,Malaysia","3. Early Revenue,4. Scaling","We invest in early stage startups across Southeast Asia as syndicate lead, connecting investment opportunities with accredited angels and family offices from Southeast Asia. ",Other,"$100,000","$500,000"
Aadhyanta Fund,https://www.aadhyanta.com/,"Maharajgunj, next to UNHCR building, Kathmandu, 03 44600, NP",Nepal,"2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in fintech, agritech, infrastructure, SaaS",VC,"$10,000","$1,500,000"
Abac Nest Ventures,https://abacnest.abaccapital.com/en/,"Carrer de Lleó XIII, 24, Sarrià-Sant Gervasi, 08022 Barcelona",Spain,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in outlier entrepreneurs building B2S SaaS solutions to transform the SME industry across Southern Europe,VC,"$150,000","$500,000"
Abdelmuhaimen Madi,https://designos.co/,"Toronto, M5R 1V9, Canada","Canada,USA,Belgium,Czech Republic,Estonia,Finland,Italy,Malta,UK,Ukraine,Algeria,Bahrain,Egypt,Jordan,Kuwait,Lybia,Morocco,Oman,Palestine,Qatar,Saudi Arabia,Tunisia,Turkey,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","I invest in early stage startups, in any sector. I prefer subscription based business models.",Solo angel,"$5,000","$100,000"
Abdulaziz Binzaraah,,Saudi Arabia,"Canada,USA,China,Hong Kong,India,Indonesia,Japan,Malaysia,Philippines,Singapore,South Korea,Sri Lanka,Taiwan","2. Prototype,3. Early Revenue,4. Scaling",I invest in tech,Solo angel,"$5,000","$100,000"
Abhilash Dubbaka,,"Munich, Bavaria, Germany","Austria,Belgium,Denmark,Finland,France,Germany,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland,UK","3. Early Revenue,4. Scaling","I invest in FinTech and AI/DeepTech start-ups, specifically on B2B business models.",Solo angel,"$1,000","$5,000"
Abhishek Parolkar,,Singapore,"Canada,USA,India,Malaysia,Philippines,Singapore,Sri Lanka,Taiwan,Vietnam","3. Early Revenue,4. Scaling,5. Growth","I invest in
* Atleast 10k+ MRR from Product Revenue (excluding services revenue)
* B2B Tools
* Founders Own >50% equity
",Solo angel,"$25,000","$300,000"
