Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Maciek Romanowicz,https://maciek-romanowicz.beehiiv.com/,New York,"Poland,USA,Singapore","1. Idea or Patent,2. Prototype,3. Early Revenue","I invest in software early-stage companies and am industry-agnostic. I look at TAM, product differentiation & its initial traction (to assess the potential to grow), competitive landscape, & Founders. All are important to me, and have to make sense on a deal-by-deal basis.",Solo angel,"$1,000","$25,000"
Macif Innovation,https://www.macif.fr/assurance/le-groupe-macif/innovation,"75015 Paris, France","France,Belgium,Switzerland,Luxembourg","3. Early Revenue,4. Scaling","We invest in Insurtech, Fintech, Mobility, SilverEconomy, SmartCity, HealthTech solutions",Corporate VC,"$300,000","$1,500,000"
Madrona Venture Group,https://www.madrona.com/,"999 3rd Avenue, Suite 3400, Seattle, WA 98104, US",USA,"3. Early Revenue,4. Scaling,2. Prototype,1. Idea or Patent,5. Growth","We invest in seed and early-stage technology companies in the Pacific NW, as well as early growth stage companies across the US. Our areas of focus are Intelligent Applications with AI/ML, Software Infrastructure, Low-code & No-code, the Future of Work, the Digital Transformation of Consumer Experiences, and the Intersection of Machine Learning and Life Sciences. More here: https://www.madrona.com/madronas-investment-themes-for-2020-and-beyond/ ",VC,"$1,000,000","$10,000,000"
Maersk Growth,https://www.maersk.com/growth,"Esplanaden 6, DK-1263 Copenhagen, Denmark","USA,Austria,Australia,Belgium,Canada,Denmark,Egypt,Finland,France,Germany,Ireland,Italy,Luxembourg,Netherlands,Norway,Portugal,Singapore,Spain,Sweden,Switzerland,UK","2. Prototype,3. Early Revenue,4. Scaling,5. Growth,1. Idea or Patent","We invest in early-stage startups that are digitizing, democratizing and decarbonizing supply chains. ",Corporate VC,"$100,000","$5,000,000"
Magarac Venture Partners,https://www.magarac.vc,"6501 Living Place Pittsburgh, PA 15206",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in sectors where the Midwest has natural advantages—especially artificial intelligence, robotics, advanced manufacturing, and enterprise software.

MVP's thesis is built on the belief that world-class companies will emerge from undercapitalized regions anchored by technical talent, industrial strength, and leading research institutions. ",VC,"$500,000","$3,000,000"
Magic Fund,https://magic.fund,"Los Angeles, CA 90046","Nigeria,Colombia,USA,India,Indonesia,UK","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in great founders from around the world regardless of stage or revenue. We are founders ourselves investing in founders.,VC,"$50,000","$200,000"
Magma Partners,https://www.magmapartners.com/,"Nueva Providencia 2353, Piso 17, Providencia, Santiago 111111, CL",Chile,2. Prototype,"We invest in $25,000 to $5M from first check to Series A. While we’re best known for fintech, insurtech and prop tech, we’re a generalist firm at heart, looking to partner with the best founders in Latin America.",VC,"$25,000",
Magnivia Ventures,http://magnivia.net/,"55 Riverwalk Pl, West New York, New Jersey 07093, US","Argentina,Brazil,Colombia,Germany,France,Japan,India,Hong Kong,Israel,Mexico,USA,UK,Nigeria,Singapore,Thailand,Spain,Australia","3. Early Revenue,4. Scaling,5. Growth",We invest in cross-border enterprise startups with strong IP doing  $250K+ ARR,VC,"$250,000","$750,000"
Mahmood Midlij,,Israel,"Canada,USA,China,Philippines,Thailand,Austria,Belgium,Bosnia-H,Croatia,Denmark,Estonia,Finland,Ireland,Italy,Latvia,Lithuania,Montenegro,Netherlands,Norway,Portugal,Romania,Slovenia,Spain,Sweden,Switzerland,UK,Egypt,Israel,Jordan,Turkey,UAE","1. Idea or Patent,3. Early Revenue","I invest in early to growth-stage startups that demonstrate strong market potential and innovative solutions aimed at addressing real-world challenges
",Solo angel,"$1,000","$10,000"
MAIF Avenir,https://www.maif-avenir.fr/,"156 rue de l'université, 75007 Paris",France,"3. Early Revenue,4. Scaling,5. Growth","We invest in European start-ups, mostly in series A companies (€80k+ MRR). We are sector agnostic but we love: HR Tech, Medtech, Circular Economy, AI-driven models. ",Corporate VC,"$500,000","$7,000,000"
