id,name,round,location,sector,website,status,slug
4704,Tech Ranch Austin,Pre-Seed,United States,,https://techranchaustin.com,,tech-ranch-austin
2901,Tech Square Ventures,"Seed, Series A",United States,"IT, IoT, SaaS, Enterprise, B2B",https://techsquareventures.com,Active,tech-square-ventures
1653,Techstars,"Seed, Series A, Series B, Series C, Growth",United States,"Financial Services, Enterprise, VR/AR, Agnostic",https://www.techstars.com,Active,techstars
4705,Techstars Atlanta,Pre-Seed,United States,,https://www.techstars.com/atlanta-program,,techstars-atlanta
4706,Techstars Austin Accelerator,Accelerator,United States,,https://www.techstars.com/accelerators/austin,,techstars-austin-accelerator
4707,Techstars Bangalore Accelerator,"Accelerator, Pre-Seed",India,,https://www.techstars.com/programs/bangalore-program,,techstars-bangalore-accelerator
4708,Techstars Boston Accelerator,Accelerator,United States,,https://www.techstars.com/accelerators/boston,,techstars-boston-accelerator
4709,Techstars Boulder Accelerator,Accelerator,United States,,https://www.techstars.com/accelerators/boulder,,techstars-boulder-accelerator
4710,Techstars Impact Accelerator,Accelerator,United States,,https://www.techstars.com/programs/impact-program,,techstars-impact-accelerator
4711,Techstars Korea Accelerator,"Accelerator, Pre-Seed",South Korea,,https://www.techstars.com/programs/korea-program,,techstars-korea-accelerator
4712,Techstars London Accelerator,Accelerator,United Kingdom,,https://www.techstars.com/accelerators/london,,techstars-london-accelerator
4713,Techstars Mobility Accelerator,Accelerator,,,https://www.techstars.com/accelerators/smart-mobility,,techstars-mobility-accelerator
4714,Techstars Sports Accelerator Powered by Indy,Accelerator,United States,,https://www.techstars.com/programs/sports-program,,techstars-sports-accelerator-powered-by-indy
4715,Techstars SportsTech Melbourne,Pre-Seed,Australia,,https://www.techstars.com/programs/sportstech-melbourne-program,,techstars-sportstech-melbourne
1654,Techstart Ventures,"Seed, Series A, Series B",United Kingdom,"Software, IT, Health Care, Hardware, SaaS, Agnostic",https://techstart.vc,Active,techstart-ventures
4717,Tech Wildcatters,Pre-Seed,United States,,https://www.techwildcatters.com/,,tech-wildcatters
2902,Tectonic Ventures,"Pre-Seed, Seed",United States,"Health Care, B2B",https://www.tectonicventures.com/,Active,tectonic-ventures
4719,Teldat Group,"Series A, Series B",Spain,,https://www.teldat.com/,,teldat-group
4720,Telecom Partners,"Series A, Series B",United States,,https://www.tpgllp.com/,,telecom-partners
4722,TeleSoft Partners,"Series A, Series B",United States,,https://www.telesoftvc.com/,,telesoft-partners
4724,Telus Ventures,Series A,Canada,,https://www.telus.com/ventures,,telus-ventures
2904,Temasek Lifesciences Accelerator,"Accelerator, Pre-Seed",,Agriculture,https://tla.com.sg,Active,temasek-lifesciences-accelerator
4726,Tembusu Partners,Series A,,,https://tembusupartners.com,,tembusu-partners
1655,Temerity Capital Partners,"Pre-Seed, Seed, Series A",United States,"Fintech, SaaS, ESG, Climate, Impact",https://www.temeritycap.com/,Active,temerity-capital-partners
4727,Tempocap,Growth,,,https://www.tempocap.com/,,tempocap
756,TEN13,Seed/Series A,Australia,Tech,https://www.ten13.vc,Active,ten13
1656,Tenacious Ventures,"Pre-Seed, Seed, Series A",Australia,"Agriculture, Food and Beverage, Robotics, Marketplaces, Sustainability",https://tenacious.ventures,Active,tenacious-ventures
2905,Tencent Holdings,Seed,China,Agnostic,https://www.tencent.com/en-us/about.html,Active,tencent-holdings
1657,Ten Eleven Ventures,"Seed, Series A, Series B, Series C, Growth",United States,"Privacy and Security, Software",http://www.1011vc.com/,Active,ten-eleven-ventures
